Foreign State;Region;2008_visas;2009_visas;2010_visas;2011_visas;2012_visas;2013_visas;2014_visas;2015_visas;2016_visas;2017_visas;2007_Entrants;2007_Derivatives;2007_Total;2008_Entrants;2008_Derivatives;2008_Total;2009_Entrants;2009_Derivatives;2009_Total;2010_Entrants;2010_Derivatives;2010_Total;2011_Entrants;2011_Derivatives;2011_Total;2012_Entrants;2012_Derivatives;2012_Total;2013_Entrants;2013_Derivatives;2013_Total;2014_Entrants;2014_Derivatives;2014_Total;2015_Entrants;2015_Derivatives;2015_Total;2016_Entrants;2016_Derivatives;2016_Total;2017_Entrants;2017_Derivatives;2017_Total;2018_Entrants;2018_Derivatives;2018_Total
Saint Lucia;South America, Central America, and the Caribbean;2;4;7;9;1;9;15;5;1;10;760;496;1256;862;516;1378;759;565;1324;713;469;1182;1018;734;1752;929;738;1667;1053;790;1843;980;859;1839;906;730;1636;938;774;1712;1021;784;1805;828;667;1495
Saint Martin;Europe;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;38;74;31;7;38;90;19;109;139;27;166;99;44;143;90;35;125
Saint Vincent and the Grenadines ;South America, Central America, and the Caribbean;1;3;5;4;1;9;5;3;2;0;513;314;827;463;296;759;501;302;803;391;271;662;515;319;834;519;321;840;516;369;885;487;384;871;452;311;763;550;451;1001;398;328;726;449;337;786
Samoa;Oceania;11;2;9;4;2;0;0;0;0;0;202;293;495;158;238;396;223;306;529;205;216;421;231;287;518;184;284;468;185;275;460;159;248;407;139;178;317;178;243;421;95;119;214;126;182;308
San Marino;Europe;0;0;0;0;0;0;0;0;0;0;5;1;6;7;6;13;10;3;13;20;6;26;10;2;12;13;1;14;13;5;18;15;6;21;19;7;26;24;12;36;27;11;38;39;27;66
Sao Tome and Principe ;Africa;0;0;0;0;0;0;0;0;0;0;47;29;76;32;19;51;48;23;71;37;20;57;32;32;64;23;25;48;24;28;52;28;43;71;35;36;71;243;47;290;45;35;80;49;38;87
Saudi Arabia;Asia;29;37;34;41;56;88;109;89;124;111;3626;3476;7102;4814;4903;9717;7186;7653;14839;6630;7642;14272;8746;11901;20647;11697;14949;26646;12701;16427;29128;14912;21095;36007;20239;24975;45214;26755;32137;58892;31699;34214;65913;47512;45548;93060
Senegal;Africa;104;163;128;128;51;91;109;104;139;98;15087;5515;20602;31079;6655;37734;41963;7979;49942;21264;4930;26194;19042;5502;24544;12165;4714;16879;20159;6267;26426;39759;7815;47574;32946;6395;39341;38230;7973;46203;50810;11391;62201;49697;10615;60312
Serbia and Montenegro ;;;;;;;;;;;;21693;19671;41364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Serbia;Europe;351;211;158;156;120;171;206;216;213;314;0;0;0;17188;16431;33619;17364;17100;34464;8910;7324;16234;9623;8675;18298;10240;8940;19180;12431;9433;21864;19146;14364;33510;15693;11692;27385;24286;18774;43060;28177;22003;50180;29884;23729;53613
Seychelles;Africa;0;3;0;0;1;0;0;3;0;0;94;69;163;92;71;163;124;59;183;177;62;239;161;107;268;150;96;246;130;88;218;131;121;252;148;131;279;212;124;336;144;94;238;195;94;289
Sierra Leone;Africa;438;547;314;317;287;719;449;354;383;340;56525;21165;77690;80148;16975;97123;131788;17386;149174;310817;15635;326452;424966;16284;441250;292778;22963;315741;216873;16646;233519;265032;19173;284205;479195;31925;511120;575457;36526;611983;807065;34623;841688;967062;44663;1011725
Singapore;Asia;21;14;11;12;14;6;32;2;12;9;4563;4318;8881;4612;4524;9136;4153;4143;8296;2868;2357;5225;3000;2793;5793;2835;2668;5503;2773;2657;5430;2895;2787;5682;3066;2885;5951;3331;3054;6385;3285;2714;5999;3505;2648;6153
Sint Maarten;Europe;;;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;76;168;106;98;204;92;84;176;114;97;211;105;82;187;136;74;210
